ID,albergueName,original,updated
5364,Albergue Vía Lactea,All Year,All year
5365,Albergue Ultreia,1 March - 31 October (resto del año grupos con reserva),1 March to 31 October (groups by prior reservation during the rest of the year)
5366,Albergue Santiago Apóstol,"All Year, en invierno con reserva","All year, prior reservation required in winter"
5367,Albergue Los Caminantes II,1 March - 30 November,1 March to 30 November
5368,Albergue A Conda - Pensión Vilariño Moscoso,1 April - 30 October,1 April to 30 October
5369,Albergue de Selmo,Holy Week - 31 October,Holy Week to 31 October
5370,Albergue-Pensión Cima do Lugar,"All Year, excepto  January y  February","All year, except January and February"
5371,Albergue Casa del Peregrino,1 April - 31 October,1 April to 31 October
5372,Albergue O Santo,1 April - 31 October,1 April to 31 October
5373,Albergue-Pensión Arzúa,1 March - 30 November,1 March to 30 November
5374,Albergue San Francisco,1 February - 10 December,1 February to 10 December
5376,Albergue del Peregrino,1 March - 31 October,1 March to 31 October
5395,Albergue-Pensión Camiño das Ocas,1 March - 30 November (resto del año consultar),1 March to 30 November (enquire about opening during the rest of the year)
5396,Albergue Taberna Vella,1 April - 31 October,1 April to 31 October
5398,Albergue-Hotel Rural Salceda,All Year (en invierno confirmar),All year (confirm winter availability)
5399,Albergue-Pensión Alborada,Holy Week - 30 November,Holy Week to 30 November
5400,Albergue La Corona,1 March - 31 October,1 March to 31 October
5403,Albergue Rural Astrar,1 April a 15 November,1 April to 15 November
5404,Albergue Espíritu Xacobeo,1 April - 31 October (resto del año solo grupos con reserva),1 April to 31 October (groups only by prior reservation during the rest of the year)
5405,Camping Peregrino O Castiñeiro,1 April - 31 October,1 April to 31 October
5407,Albergue Mirador de Pedrouzo,15 March - 15 November,15 March to 15 November
5408,Albergue O Burgo,1 March - 29 November,1 March to 29 November
5409,Albergue Edreira,1 March - 31 October (resto del año solo grupos con reserva),1 March to 31 October (groups only by prior reservation during the rest of the year)
5410,Albergue Otero,mediados March - 30 November,mid-March to 30 November
5411,Albergue Cruceiro de Pedrouzo,1 March - 30 November,1 March to 30 November
5412,Albergue O Trisquel,1 March - 30 November,1 March to 30 November
5413,Albergue Porta de Santiago,1 March - 15 December,1 March to 15 December
5414,Albergue Rem,1 March - 31 October,1 March to 31 October
5424,Albergue Lavacolla,"All Year (en invierno, con reserva)",All year (prior reservation required in winter)
5426,Albergue Monte do Gozo,"All Year (en temporada baja, confirmar)",All year (confirm availability in low season)
5427,Albergue del Centro Europeo de Peregrinación Juan Pablo II,1 April - 31 October,1 April to 31 October
5429,Albergue Seminario Menor,1 April - 31 October,1 April to 31 October
5430,Albergue Fin del Camino,Holy Week a mediados October,Holy Week to mid-October
5431,Albergue Meiga Backpackers,1 March - 30 November,1 March to 30 November
5432,Albergue Mundoalbergue,Precio según temporada.,Opening period not recorded. Source note: prices vary by season.
5433,Albergue The Last Stamp,"All Year, excepto del 15 December - 15 January","All year, except 15 December to 15 January"
5434,Albergue La Estación,1 April - 31 October,1 April to 31 October
5435,Albergue Porta Real,1 April - 31 October,1 April to 31 October
5436,Albergue Azabache,1 February a  December,1 February to December
5437,Albergue La Credencial,"1 March - 30 November (en temporada baja, solo grupos con reserva)",1 March to 30 November (groups only by prior reservation in low season)
5438,Albergue Monterrey,1 March - 30 November,1 March to 30 November
5439,Albergue Blanco,14:00 a 22:00,14:00 to 22:00
5440,Albergue La Estrella de Santiago,1 March a  December,1 March to December
5441,Albergue SIXTOS no Caminho,1 March - 31 October,1 March to 31 October
5442,Albergue Santiago Km.0,"1 March - 8-10 December (resto del año, solo grupos con reserva)",1 March to 8-10 December (confirm closing date); groups only by prior reservation during the rest of the year.
5443,Albergue Santos,1 March - 30 November,1 March to 30 November
5444,Albergue SCQ,1 March - 15 December,1 March to 15 December
5445,Albergue Alda O Fogar de Teodomiro,15:00 a 21:00,15:00 to 21:00
5446,Albergue A Fonte de Compostela,16:30 a 20:00,16:30 to 20:00
5447,Albergue Dream in Santiago,1 March - 31 October,1 March to 31 October
5448,Albergue Linares,13:00 a 17:00,13:00 to 17:00
5449,Ospitalia Refuge Municipal,14:00 a 20:30 (22:30 sábados y domingos),14:00 to 20:30 (22:30 on Saturdays and Sundays)
5450,Refuge Accueil Paroissial Kaserna,15:00 a 20:00,15:00 to 20:00
5451,Gîte d'étape Beilari,15 March a finales October,15 March to late October
5454,Ospitalia Refuge Municipal,14:00 (16:00 en invierno) a 20:30 (22:30 sábados y domingos),14:00 (16:00 in winter) to 20:30 (22:30 on Saturdays and Sundays)
5455,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5456,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5458,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5461,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5462,Ospitalia Refuge Municipal,14:00 (16:00 en invierno) a 20:30 (22:30 sábados y domingos),14:00 (16:00 in winter) to 20:30 (22:30 on Saturdays and Sundays)
5463,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5464,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5466,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5469,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5470,Albergue de peregrinos de Roncesvalles,All Year,All year
5471,Lorentx Aterpea - Albergue,"25 March - 3 November, excepto por San Fermín (del 5 - 14 July). Martes cerrado",25 March to 3 November; closed during San Fermín (5-14 July) and on Tuesdays.
5472,Albergue-Camping Urrobi,Dormitorios10 a 2 plazas. 16+ € en tienda / 117+ € bungalow.,"Opening period not recorded. Source accommodation note: ""Dormitories: 10 to 2 places"" (wording unclear); tent from EUR 16; bungalow from EUR 117."
5475,Albergue municipal de Zubiri,inicios March a inicios November,early March to early November
5476,Albergue-Pensión Zaldiko,11:30 a 18:30,11:30 to 18:30
5477,Albergue El Palo de Avellano,1 March a mediados November ,1 March to mid-November
5478,Albergue Suseia,13:00 a 19:00,13:00 to 19:00
5479,Albergue Río Arga Ibaia,All Year,All year
5480,Albergue Segunda Etapa,1 March - 31 October ,1 March to 31 October
5481,Albergue municipal de Zubiri,inicios March a inicios November,early March to early November
5482,Albergue-Pensión Zaldiko,11:30 a 18:30,11:30 to 18:30
5483,Albergue El Palo de Avellano,1 March a mediados November ,1 March to mid-November
5484,Albergue Suseia,13:00 a 19:00,13:00 to 19:00
5485,Albergue Río Arga Ibaia,All Year,All year
5486,Albergue Segunda Etapa,1 March - 31 October ,1 March to 31 October
5487,Ospitalia Refuge Municipal,14:00 (16:00 en invierno) a 20:30 (22:30 sábados y domingos),14:00 (16:00 in winter) to 20:30 (22:30 on Saturdays and Sundays)
5488,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5489,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5491,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5494,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5495,Ospitalia Refuge Municipal,All Year,All year
5496,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5498,Ospitalia Refuge Municipal,All Year,All year
5499,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5500,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5502,Ospitalia Refuge Municipal,All Year,All year
5503,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5504,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5506,Ospitalia Refuge Municipal,All Year,All year
5507,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5508,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5510,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5513,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5514,Ospitalia Refuge Municipal,All Year,All year
5516,Ospitalia Refuge Municipal,All Year,All year
5517,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5518,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5520,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5523,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5524,Ospitalia Refuge Municipal,All Year,All year
5525,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5526,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5528,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5530,Ospitalia Refuge Municipal,All Year,All year
5531,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5532,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5534,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5536,Ospitalia Refuge Municipal,All Year,All year
5537,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5538,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5540,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5543,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5544,Ospitalia Refuge Municipal,All Year,All year
5545,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5546,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5548,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5551,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5553,Ospitalia Refuge Municipal,All Year,All year
5554,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5555,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5557,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5560,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5562,Ospitalia Refuge Municipal,All Year,All year
5563,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5564,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5566,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5569,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5571,Ospitalia Refuge Municipal,All Year,All year
5572,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5573,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5575,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5578,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5580,Ospitalia Refuge Municipal,All Year,All year
5581,Ospitalia Refuge Municipal,All Year,All year
5582,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5583,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5585,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5588,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5590,Ospitalia Refuge Municipal,All Year,All year
5591,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5592,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5594,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5597,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5599,Ospitalia Refuge Municipal,All Year,All year
5600,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5601,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5603,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5606,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5608,Ospitalia Refuge Municipal,All Year,All year
5609,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5610,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5612,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5615,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5617,Ospitalia Refuge Municipal,All Year,All year
5618,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5619,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5621,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5624,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5628,Ospitalia Refuge Municipal,All Year,All year
5629,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5630,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5632,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5635,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5639,Ospitalia Refuge Municipal,All Year,All year
5640,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5641,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5643,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5646,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5650,Ospitalia Refuge Municipal,All Year,All year
5651,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5652,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5654,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5657,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5661,Ospitalia Refuge Municipal,All Year,All year
5662,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5663,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5665,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5668,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5672,Ospitalia Refuge Municipal,All Year,All year
5673,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5674,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5676,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5679,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5682,Gîte Bidean,15:00 a 22:30,15:00 to 22:30
5683,Ospitalia Refuge Municipal,14:00 (16:00 en invierno) a 20:30 (22:30 sábados y domingos),14:00 (16:00 in winter) to 20:30 (22:30 on Saturdays and Sundays)
5684,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5685,Gîte d'étape Beilari,18 March a finales October,18 March to late October
5687,Gîte Le Chemin vers l'Étoile,1 March - 31 October (de  November a  March avisar con 15 díasantelación),1 March to 31 October (give 15 days' notice from November to March)
5690,Ospitalia Refuge Municipal,14:00 (16:00 en invierno) a 20:30 (22:30 sábados y domingos),14:00 (16:00 in winter) to 20:30 (22:30 on Saturdays and Sundays)
5691,Ospitalia Refuge Municipal,14:00 (16:00 en invierno) a 20:30 (22:30 sábados y domingos),14:00 (16:00 in winter) to 20:30 (22:30 on Saturdays and Sundays)
5692,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5694,L'Auberge du Pèlerin,1 April - 31 October. Domingo cerrado,1 April to 31 October. Closed on Sundays
5695,Ospitalia Refuge Municipal,1 March - 30 November (ver Observaciones),1 March to 30 November (see additional comments)
5696,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5698,L'Auberge du Pèlerin,1 April - 31 October. Domingo cerrado,1 April to 31 October. Closed on Sundays
5699,Gîte Le Chemin vers l'Étoile,mediados March - 31 October,mid-March to 31 October
5702,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5703,Ospitalia Refuge Municipal,1 March - 30 November (ver Observaciones),1 March to 30 November (see additional comments)
5704,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5706,L'Auberge du Pèlerin,1 April - 31 October. Domingo cerrado,1 April to 31 October. Closed on Sundays
5707,Gîte Le Chemin vers l'Étoile,mediados March - 31 October,mid-March to 31 October
5710,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5711,Ospitalia Refuge Municipal,1 March - 30 November (ver Observaciones),1 March to 30 November (see additional comments)
5712,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5714,L'Auberge du Pèlerin,1 April - 31 October. Domingo cerrado,1 April to 31 October. Closed on Sundays
5715,Gîte Le Chemin vers l'Étoile,mediados March - 31 October,mid-March to 31 October
5718,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5719,Ospitalia Refuge Municipal,1 March - 30 November (ver Observaciones),1 March to 30 November (see additional comments)
5720,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5722,L'Auberge du Pèlerin,1 April - 31 October. Domingo cerrado,1 April to 31 October. Closed on Sundays
5723,Gîte Le Chemin vers l'Étoile,mediados March - 31 October,mid-March to 31 October
5726,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5727,Ospitalia Refuge Municipal,1 March - 30 November (ver Observaciones),1 March to 30 November (see additional comments)
5728,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5730,L'Auberge du Pèlerin,1 April - 31 October. Domingo cerrado,1 April to 31 October. Closed on Sundays
5731,Gîte Le Chemin vers l'Étoile,mediados March - 31 October,mid-March to 31 October
5734,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5735,Ospitalia Refuge Municipal,1 March - 30 November (ver Observaciones),1 March to 30 November (see additional comments)
5736,Refuge Accueil Paroissial Kaserna,15:00 a 19:00,15:00 to 19:00
5738,L'Auberge du Pèlerin,1 April - 31 October. Domingo cerrado,1 April to 31 October. Closed on Sundays
5739,Gîte Le Chemin vers l'Étoile,mediados March - 31 October,mid-March to 31 October
5742,Gîte Compostelle,14:00 a 22:30,14:00 to 22:30
5743,Albergue de peregrinos de Roncesvalles,All Year,All year
5744,Lorentx Aterpea - Albergue,"25 March - 3 November, excepto por San Fermín (del 5 - 14 July). Martes cerrado",25 March to 3 November; closed during San Fermín (5-14 July) and on Tuesdays.
5745,Albergue-Camping Urrobi,1 April - 31 October,1 April to 31 October
5748,Albergue municipal de Zubiri,inicios March a inicios November,early March to early November
5749,Albergue-Pensión Zaldiko,11:30 a 18:30,11:30 to 18:30
5750,Albergue El Palo de Avellano,1 March a mediados November ,1 March to mid-November
5751,Albergue Suseia,13:00 a 19:00,13:00 to 19:00
5752,Albergue Río Arga Ibaia,"Sí, recomendada en temporada baja","Opening period not recorded. Source note: ""Yes, recommended in low season"" (appears to refer to reservations)."
5753,Albergue Segunda Etapa,1 March - 31 October ,1 March to 31 October
5754,Albergue municipal de Zubiri,inicios March a inicios November,early March to early November
5755,Albergue-Pensión Zaldiko,11:30 a 18:30,11:30 to 18:30
5756,Albergue El Palo de Avellano,1 March a mediados November ,1 March to mid-November
5757,Albergue Suseia,13:00 a 19:00,13:00 to 19:00
5758,Albergue Río Arga Ibaia,"Sí, recomendada en temporada baja","Opening period not recorded. Source note: ""Yes, recommended in low season"" (appears to refer to reservations)."
5759,Albergue Segunda Etapa,1 March - 31 October ,1 March to 31 October
